,日,平均気圧,海面気圧,降水量,最大１,最大10,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,風向1,最大瞬間風速,風向２,日照時間,雪,値,昼,夜,月,年
57,27,1013.4,1017.9,--,--,--,0.9,5.2,-3.5,31,20,4.0,9.7,北西,20.7,北西,10.1,--,--,晴,降水なし,2,1981
58,28,1022.0,1026.5,--,--,--,3.3,6.9,-1.3,44,27,2.6,5.5,北北西,9.6,北北西,8.4,--,--,晴,降水なし,2,1981
59,1,1019.8,1024.3,0.0,0.5,0.0,5.0,8.5,1.0,52,34,2.6,5.7,北東,10.6,北東,4.6,--,--,曇,時々雨,3,1981
60,2,1021.9,1026.4,1.5,0.5,0.5,4.7,9.3,0.2,54,27,3.8,6.8,北,10.6,北北東,8.4,0,--,晴,降水なし,3,1981
61,3,1019.7,1024.2,0.5,0.5,0.5,6.2,9.9,1.1,58,39,1.9,4.1,北北西,5.7,北北西,7.2,--,--,晴,時々雨,3,1981
62,4,1006.4,1010.8,8.5,3.0,1.0,6.6,8.1,4.2,87,73,2.8,7.6,北北西,11.7,北北西,--,--,--,雨,時々雨,3,1981
63,5,1009.7,1014.1,0.0,0.0,0.0,7.7,12.5,4.9,63,32,3.3,7.7,北北西,12.6,北北西,5.3,--,--,曇,降水なし,3,1981
64,6,1013.8,1018.2,--,--,--,7.4,13.4,2.4,47,24,4.4,10.2,南西,20.2,南西,10.4,--,--,晴,降水なし,3,1981
65,7,1014.5,1018.9,--,--,--,7.1,10.5,2.0,52,32,3.3,5.9,南,12.1,南西,9.8,--,--,晴,降水なし,3,1981
66,8,1015.3,1019.7,--,--,--,9.6,14.0,5.6,43,28,3.7,6.2,東北東,10.8,東北東,9.5,--,--,晴,降水なし,3,1981
67,9,1008.4,1012.9,4.5,2.0,0.5,5.5,7.5,4.7,74,51,3.6,6.9,北北西,10.8,北北西,--,--,--,曇時々雨,時々雨,3,1981
68,10,1010.0,1014.5,1.0,0.5,0.5,6.1,11.1,2.5,55,24,5.7,10.6,北北西,18.1,北北西,5.7,--,--,曇,降水なし,3,1981
69,11,1023.8,1028.2,--,--,--,6.4,10.1,2.0,43,22,4.0,8.6,北北西,14.3,北北西,10.0,--,--,晴,一時雨,3,1981
70,12,1023.0,1027.5,0.0,0.0,0.0,8.7,12.4,3.7,55,46,2.9,6.0,南,8.6,南,7.3,--,--,晴,降水なし,3,1981
71,13,1022.3,1026.7,--,--,--,10.6,16.1,4.8,59,29,2.4,4.6,東,7.2,東,4.5,--,--,曇,時々雨,3,1981
72,14,1013.9,1018.4,11.0,1.5,0.5,8.6,10.7,6.7,91,63,3.0,5.2,北北西,8.2,南,--,--,--,雨,時々雨,3,1981
73,15,991.7,996.0,7.5,4.0,1.5,14.1,20.2,7.8,59,16,5.1,11.0,南南西,25.9,南南西,6.3,--,--,晴一時雨,降水なし,3,1981
74,16,1001.6,1005.9,--,--,--,8.7,13.4,5.0,30,21,5.0,8.4,北西,17.6,北西,10.7,--,--,晴,降水なし,3,1981
75,17,1006.1,1010.5,--,--,--,8.2,12.6,3.8,39,25,3.4,7.0,北北西,12.1,北北西,8.6,--,--,晴,降水なし,3,1981
76,18,1011.8,1016.2,--,--,--,10.8,15.5,4.0,45,32,3.5,7.6,南,11.8,南,10.6,--,--,晴,降水なし,3,1981
77,19,1011.3,1015.6,--,--,--,13.5,18.5,6.8,59,38,2.6,6.5,南南東,10.6,南南東,9.6,--,--,晴,時々雨,3,1981
78,20,1007.9,1012.2,21.0,7.0,2.0,14.6,18.5,10.7,68,44,4.0,9.2,北,13.4,北,5.3,--,--,曇一時雨,降水なし,3,1981
79,21,1011.1,1015.5,18.0,4.5,1.0,11.5,15.0,9.0,77,58,2.2,5.8,北北東,8.3,北北東,--,--,--,曇時々雨,雨,3,1981
80,22,1003.1,1007.4,12.5,3.5,1.5,11.2,14.8,8.9,78,64,4.6,8.5,北北西,13.1,北北西,6.4,--,--,晴時々雨,一時雨,3,1981
81,23,1011.1,1015.5,0.0,0.0,0.0,11.8,16.6,8.2,47,26,6.7,16.5,北北西,24.9,北北西,10.3,--,--,大風　降水なし,降水なし,3,1981
82,24,1021.8,1026.2,1.0,1.0,0.5,9.4,13.2,5.9,48,36,3.3,6.1,北北西,10.0,東南東,8.0,--,--,晴,雨,3,1981
83,25,1008.8,1013.2,25.5,4.0,1.5,7.6,9.4,5.9,91,83,3.1,6.1,北北西,9.7,北北西,--,--,--,雨,一時雨,3,1981
84,26,991.0,995.2,0.0,0.0,0.0,12.5,20.6,9.0,58,28,3.8,11.3,北北西,22.0,北北西,5.4,--,--,曇,降水なし,3,1981
85,27,1004.2,1008.4,--,--,--,9.9,14.4,5.9,33,21,5.7,11.3,北北西,19.7,北北西,10.9,--,--,晴,降水なし,3,1981
86,28,1014.5,1018.9,--,--,--,8.9,12.3,5.3,50,37,3.3,6.4,北,11.5,北北西,7.7,--,--,晴,降水なし,3,1981
87,29,1012.5,1016.8,--,--,--,10.8,14.3,7.2,62,40,3.1,5.2,北,7.7,北,7.0,--,--,晴,降水なし,3,1981
88,30,1017.7,1022.1,--,--,--,8.5,10.9,7.3,47,35,3.4,6.3,南東,9.5,南東,3.1,--,--,曇,降水なし,3,1981
89,31,1021.7,1026.2,0.5,0.5,0.5,5.6,7.6,4.1,60,45,3.1,5.2,北,8.4,北,--,--,--,曇時々雨,一時雨,3,1981
90,1,1017.8,1022.3,4.0,1.5,0.5,6.0,8.2,2.7,79,57,2.2,4.2,北北西,6.2,北北西,--,--,--,曇時々雨,雨,4,1981
91,2,999.9,1004.3,18.0,4.5,1.0,7.9,12.3,4.9,77,34,4.2,14.5,北北西,25.3,北北西,--,--,--,雨,降水なし,4,1981
92,3,1008.2,1012.5,--,--,--,12.3,17.1,4.0,40,22,3.3,7.2,北北西,10.8,北北西,11.5,--,--,晴,降水なし,4,1981
93,4,1007.2,1011.6,3.5,2.0,0.5,10.1,12.3,8.5,66,30,2.4,4.1,北北西,5.9,北北西,--,--,--,曇時々雨,一時雨,4,1981
94,5,1008.2,1012.6,0.0,0.0,0.0,10.5,13.4,6.7,66,52,2.3,4.9,北北西,7.8,北北西,2.1,--,--,曇一時雨,時々雨,4,1981
